global,time,income_mountain_50bracket_shape_for_log
world,1800,"22366,41957,76116,136895,243770,429599,739617,1241625,2099162,3689523,6667887,12040276,21451332,37205385,60061105,86778042,113586616,131970660,133528802,117913490,90180154,62310192,39994294,24592829,14685205,8549052,4949104,2874031,1669116,975700,577961,348309,211495,127339,75642,44458,25888,14895,8401,4669,2486,1287,673,317,166,76,33,13,1,0"
world,1801,"22502,42187,76457,137235,244319,431278,744200,1252752,2126029,3757126,6818997,12351283,22077385,38327395,61622066,88346936,114779565,132187819,132959640,117025246,89315480,61747859,39683466,24437429,14624010,8530954,4945810,2872953,1668729,975902,578245,348461,211582,127383,75633,44418,25862,14860,8377,4656,2479,1286,672,317,166,76,35,13,1,0"
world,1802,"22589,42321,76640,137488,244961,432600,746954,1258463,2138298,3784365,6878950,12469229,22288868,38701307,62188654,89250793,115968539,133237258,133472717,116798073,88708416,61255148,39450383,24367780,14626389,8551271,4967563,2890172,1677629,978658,577817,346636,209670,125757,74374,43580,25349,14569,8216,4568,2429,1260,658,312,160,74,30,13,0,0"
world,1803,"22466,42098,76220,136863,243919,431324,745698,1257723,2138527,3785998,6886305,12495616,22342660,38821616,62439325,89651294,116460207,133752256,133958761,117211934,89049409,61514316,39613656,24439562,14628277,8532370,4944825,2871491,1663834,970370,573770,345247,209276,125794,74599,43830,25555,14705,8308,4617,2461,1275,666,315,163,74,33,13,0,0"
world,1804,"22494,42160,76357,137122,244509,432506,748058,1261986,2146261,3800606,6913467,12545554,22431765,38976865,62696200,90007638,116889819,134182180,134320355,117495275,89276690,61710624,39782775,24589243,14748125,8618478,5001166,2905925,1683343,980941,579610,348395,211061,126816,75222,44195,25784,14847,8388,4665,2500,1287,672,317,164,74,34,13,0,0"
world,1805,"22573,42298,76566,137424,245046,433358,749330,1263976,2149788,3807991,6929434,12579254,22499091,39102998,62914806,90326705,117289796,134615620,134727322,117852496,89568583,61953834,39985678,24746043,14867213,8693158,5048099,2934431,1701433,991452,584747,350583,211932,127020,75105,44007,25608,14718,8308,4614,2459,1273,660,315,161,74,31,13,0,0"
world,1806,"23366,43965,79090,140812,249611,439777,759219,1280201,2178170,3857768,7010057,12719272,22707387,39397415,63332220,90864477,117827855,134965396,134841630,117819296,89561256,62059992,40160462,24922720,15004998,8794183,5116091,2979086,1728754,1007148,593808,355587,214754,128619,76053,44597,25970,14956,8425,4688,2498,1294,663,318,162,72,29,13,0,0"
world,1807,"23324,43890,78999,140528,249165,439214,758923,1280747,2180742,3865337,7027803,12756187,22776345,39526717,63550660,91163411,118188903,135353147,135201902,118163140,89884683,62365120,40429456,25133015,15158243,8881687,5164383,3001459,1741354,1014444,597739,357693,215958,129300,76396,44729,26008,14947,8428,4679,2489,1290,659,319,162,72,29,13,0,0"
world,1808,"23568,44241,79603,142366,252389,444554,767683,1295228,2205915,3911575,7115469,12914890,23048337,39996770,64261028,92258250,119553501,136559181,135836759,118113153,89540819,62054926,40161292,24827685,14830598,8607662,4963189,2870145,1660987,968091,573705,346552,210548,126847,75402,44367,25925,14962,8464,4711,2530,1314,674,327,165,73,32,12,0,0"
world,1809,"23650,44366,79752,142064,251842,444017,767505,1296047,2208969,3919142,7132525,12951323,23119231,40129504,64471394,92553634,119922327,136959644,136218356,118438418,89806038,62285345,40376798,25034047,15013581,8754204,5070671,2943505,1705985,992877,586014,351744,212691,127422,75357,44191,25743,14829,8380,4656,2493,1292,664,323,161,74,30,13,0,0"
